5M11A37641;n/a;Keyb T14s G2 Cover IT - WW - BL;1;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;IT;n/a;5M11A37641;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37641;0;n/a;n/a; 
5M11A37686;n/a;Keyb T14s G2 Cover NO - WW - BL;1;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;NO;n/a;5M11A37686;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37686;0;n/a;n/a; 
5M11A37707;n/a;Keyb T14s G2 Cover RUS - WW - BL;46;54;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;RU;n/a;5M11A37707;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37707;0;n/a;n/a; 
5M11A37720;n/a;Keyb T14s G2 Cover ES - WW - BL;7;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;ES;n/a;5M11A37720;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37720;0;n/a;n/a; 
5M11A37741;n/a;Keyb T14s G2 Cover CH - WW - BL;9;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;CH;n/a;5M11A37741;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37741;0;n/a;n/a; 
5M11A37781;n/a;Keyb T14s G2 Cover GB - WW - BL;8;186;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;GB;n/a;5M11A37781;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37781;0;n/a;n/a; 
5M11A37792;n/a;Keyb T14s G2 Cover UKR - WW - BL;9;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;UA;n/a;5M11A37792;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37792;0;n/a;n/a; 
5M11C18604;n/a;Keyb X13 Yoga G2/G3 Cover - WW - DE;3;161;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;DE;n/a;5M11C18604;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C18604;0;n/a;n/a; 
5M11C18609;n/a;Keyb X13 Yoga G2 Cover - WW - NO;1;34;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;NO;n/a;5M11C18609;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C18609;0;n/a;n/a; 
5M11C18616;n/a;Keyb X13 Yoga G2/G3 Cover - WW - GB;3;161;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;GB;n/a;5M11C18616;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C18616;0;n/a;n/a; 
5M11C18630;n/a;Keyb X13 Yoga G2/G3 Cover - WW - Nordics;1;161;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;NORDICS;n/a;5M11C18630;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C18630;0;n/a;n/a; 
5M11C18636;n/a;Keyb X13 Yoga G2/G3 Cover - WW - BE;1;161;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;BE;n/a;5M11C18636;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C18636;0;n/a;n/a; 
5M11C18641;n/a;Keyb X13 Yoga G2/G3 Cover - WW - DE;3;161;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;DE;n/a;5M11C18641;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11C18641;0;n/a;n/a; 
